PRICEEACH,PRODUCTLINE,MSRP,COUNTRY,DEALSIZE,YEAR,MONTH,WEEKDAY,IS_HOLIDAY,QUANTITYORDERED
95.7,Motorcycles,95.0,USA,Small,2003.0,2.0,0.0,False,30.0
81.35,Motorcycles,95.0,France,Small,2003.0,5.0,2.0,False,34.0
94.74,Motorcycles,95.0,France,Medium,2003.0,7.0,1.0,False,41.0
83.26,Motorcycles,95.0,USA,Medium,2003.0,8.0,0.0,False,45.0
100.0,Motorcycles,95.0,USA,Medium,2003.0,10.0,4.0,False,49.0
96.66,Motorcycles,95.0,USA,Medium,2003.0,10.0,1.0,False,36.0
86.13,Motorcycles,95.0,France,Small,2003.0,11.0,1.0,True,29.0
100.0,Motorcycles,95.0,Norway,Medium,2003.0,11.0,1.0,False,48.0
98.57,Motorcycles,95.0,USA,Small,2003.0,12.0,0.0,False,22.0
100.0,Motorcycles,95.0,France,Medium,2004.0,1.0,3.0,False,41.0
100.0,Motorcycles,95.0,Australia,Medium,2004.0,2.0,4.0,False,37.0
100.0,Motorcycles,95.0,USA,Small,2004.0,4.0,0.0,False,23.0
100.0,Motorcycles,95.0,USA,Medium,2004.0,5.0,1.0,False,28.0
100.0,Motorcycles,95.0,USA,Medium,2004.0,6.0,0.0,False,34.0
92.83,Motorcycles,95.0,France,Medium,2004.0,7.0,4.0,False,45.0
100.0,Motorcycles,95.0,USA,Medium,2004.0,8.0,4.0,False,36.0
100.0,Motorcycles,95.0,Finland,Small,2004.0,9.0,3.0,False,23.0
100.0,Motorcycles,95.0,Norway,Medium,2004.0,10.0,4.0,False,41.0
94.74,Motorcycles,95.0,USA,Medium,2004.0,11.0,1.0,False,46.0
100.0,Motorcycles,95.0,USA,Medium,2004.0,11.0,0.0,False,42.0
100.0,Motorcycles,95.0,Austria,Large,2004.0,11.0,2.0,False,41.0
72.55,Motorcycles,95.0,Australia,Small,2004.0,12.0,4.0,False,20.0
34.91,Motorcycles,95.0,France,Small,2005.0,2.0,3.0,False,21.0
76.36,Motorcycles,95.0,USA,Medium,2005.0,3.0,3.0,False,42.0
100.0,Motorcycles,95.0,UK,Small,2005.0,4.0,4.0,False,24.0
100.0,Motorcycles,95.0,Spain,Large,2005.0,5.0,4.0,False,66.0
100.0,Classic Cars,214.0,Norway,Medium,2003.0,1.0,2.0,False,26.0
100.0,Classic Cars,214.0,Sweden,Large,2003.0,3.0,0.0,False,29.0
100.0,Classic Cars,214.0,Spain,Large,2003.0,5.0,2.0,False,38.0
100.0,Classic Cars,214.0,USA,Large,2003.0,7.0,3.0,False,37.0
100.0,Classic Cars,214.0,Singapore,Large,2003.0,9.0,4.0,False,45.0
100.0,Classic Cars,214.0,USA,Medium,2003.0,10.0,0.0,False,21.0
100.0,Classic Cars,214.0,Australia,Large,2003.0,11.0,3.0,False,34.0
100.0,Classic Cars,214.0,USA,Medium,2003.0,11.0,3.0,False,23.0
100.0,Classic Cars,214.0,France,Large,2003.0,11.0,1.0,False,42.0
100.0,Classic Cars,214.0,Canada,Large,2003.0,12.0,4.0,False,47.0
100.0,Classic Cars,214.0,USA,Medium,2004.0,1.0,3.0,False,35.0
100.0,Classic Cars,214.0,USA,Medium,2004.0,3.0,2.0,False,29.0
100.0,Classic Cars,214.0,USA,Medium,2004.0,5.0,1.0,False,34.0
100.0,Classic Cars,214.0,Japan,Large,2004.0,6.0,1.0,False,32.0
100.0,Classic Cars,214.0,Australia,Medium,2004.0,7.0,0.0,False,21.0
100.0,Classic Cars,214.0,Italy,Large,2004.0,8.0,1.0,False,34.0
100.0,Classic Cars,214.0,Sweden,Large,2004.0,9.0,2.0,False,37.0
100.0,Classic Cars,214.0,France,Large,2004.0,10.0,0.0,False,47.0
100.0,Classic Cars,214.0,USA,Large,2004.0,10.0,3.0,False,48.0
100.0,Classic Cars,214.0,USA,Medium,2004.0,11.0,3.0,False,40.0
100.0,Classic Cars,214.0,USA,Medium,2004.0,11.0,3.0,False,26.0
100.0,Classic Cars,214.0,Australia,Medium,2004.0,11.0,0.0,False,30.0
100.0,Classic Cars,214.0,USA,Medium,2004.0,12.0,4.0,False,32.0
100.0,Classic Cars,214.0,USA,Medium,2005.0,1.0,3.0,False,41.0
100.0,Classic Cars,214.0,USA,Large,2005.0,2.0,3.0,False,36.0
100.0,Classic Cars,214.0,Australia,Small,2005.0,3.0,2.0,False,24.0
